Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,104.599998,104.599998,100.099998,100.400002,83.581551,20886414
2016-01-08,100.900002,101.900002,96.949997,97.900002,81.500343,32500809
2016-01-15,97.449997,97.900002,92.000000,93.199997,77.587662,39624123
2016-01-22,94.400002,95.500000,92.349998,94.500000,78.669891,27660885
2016-01-29,94.800003,99.250000,94.349998,96.900002,80.667862,35630116
2016-02-05,98.000000,98.000000,92.800003,93.599998,77.920654,15379649
2016-02-12,92.500000,97.000000,91.800003,95.849998,79.793739,30197115
2016-02-19,95.949997,97.349998,93.000000,93.699997,78.003906,22014144
2016-02-26,95.050003,99.199997,93.900002,97.550003,81.208977,28571268
2016-03-04,98.750000,99.250000,96.550003,98.300003,81.833359,24262499
2016-03-11,97.800003,100.000000,97.449997,98.849998,82.291191,26207393
2016-03-18,99.300003,103.000000,98.349998,100.300003,83.498322,31369866
2016-03-25,100.300003,102.699997,99.400002,100.699997,83.831306,17566559
2016-04-01,100.500000,101.800003,98.349998,99.250000,82.624207,17669641
2016-04-08,98.250000,100.000000,97.500000,99.000000,82.416084,31492800
2016-04-15,99.000000,99.550003,97.000000,97.500000,81.167351,31673705
2016-04-22,97.099998,97.400002,93.900002,94.199997,78.420151,34586193
2016-04-29,93.750000,94.199997,91.599998,92.599998,77.088173,29347471
2016-05-06,93.300003,94.550003,91.900002,92.199997,76.755165,29339358
2016-05-13,92.000000,92.199997,88.300003,88.449997,73.633354,33468277
2016-05-20,88.000000,90.500000,87.949997,89.599998,76.122261,28321642
2016-05-27,89.550003,91.000000,88.400002,90.349998,76.759445,45677077
2016-06-03,90.800003,93.099998,90.699997,92.500000,78.586052,29907255
2016-06-10,92.050003,92.949997,87.599998,87.849998,74.635506,35200773
2016-06-17,88.349998,92.949997,88.349998,91.650002,77.863899,33917963
2016-06-24,89.000000,92.599998,80.599998,84.550003,71.831894,130260717
2016-07-01,84.550003,85.099998,80.750000,83.349998,70.812393,39468810
2016-07-08,83.000000,86.599998,81.800003,86.449997,73.446091,46783073
2016-07-15,86.949997,89.500000,86.099998,89.199997,75.782433,33912586
2016-07-22,88.349998,91.900002,88.099998,91.099998,77.396629,41836271
2016-07-29,90.849998,91.849998,90.250000,91.650002,77.863899,27508418
2016-08-05,91.900002,94.750000,91.900002,93.250000,79.223228,26877658
2016-08-12,94.250000,99.250000,94.199997,98.150002,83.386162,39282808
2016-08-19,98.199997,99.099998,96.800003,98.000000,83.258728,21596603
2016-08-26,99.500000,99.699997,97.800003,99.550003,84.575577,20583972
2016-09-02,100.000000,103.900002,99.800003,102.199997,86.826965,31452380
2016-09-09,101.800003,103.900002,99.000000,99.849998,84.830452,25320176
2016-09-16,99.849998,101.900002,98.400002,100.400002,85.915611,20296862
2016-09-23,100.400002,101.400002,98.000000,99.699997,85.316597,20071582
2016-09-30,98.500000,100.500000,98.050003,98.699997,84.460846,23715645
2016-10-07,98.250000,98.500000,95.000000,95.400002,81.636940,28628398
2016-10-14,95.699997,98.949997,95.699997,98.199997,84.032990,23415143
2016-10-21,98.199997,99.500000,95.750000,96.250000,82.364304,21040940
2016-10-28,95.400002,97.949997,93.800003,95.449997,81.679726,23392116
2016-11-04,95.000000,96.699997,92.000000,94.750000,81.080719,24971169
2016-11-11,93.050003,94.449997,92.199997,93.599998,80.096611,20961664
2016-11-18,94.500000,96.900002,94.300003,95.599998,81.808090,21647911
2016-11-25,95.050003,95.550003,93.750000,94.699997,81.037926,21720579
2016-12-02,94.000000,94.699997,92.300003,92.400002,79.069748,25951746
2016-12-09,92.199997,93.449997,90.150002,90.250000,77.229904,35696892
2016-12-16,90.349998,90.449997,87.900002,88.750000,75.946320,38257872
2016-12-23,88.000000,89.000000,87.349998,87.900002,75.218941,19295215
2016-12-30,87.000000,91.250000,87.000000,90.699997,77.614990,18536317
2017-01-06,90.900002,92.500000,89.599998,91.599998,78.385155,25444616
2017-01-13,91.500000,92.150002,89.400002,91.199997,78.042862,21800136
2017-01-20,92.000000,92.800003,91.300003,92.300003,78.984169,20439281
2017-01-27,92.000000,93.750000,91.400002,92.000000,78.727448,10386444
2017-02-03,92.699997,92.699997,90.650002,91.199997,78.042862,21839515
2017-02-10,91.900002,94.150002,91.349998,92.800003,79.412041,30599619
2017-02-17,92.599998,93.650002,92.199997,92.500000,79.155319,22824471
2017-02-24,94.000000,97.949997,93.050003,96.199997,82.321510,42787496
2017-03-03,95.800003,96.900002,94.550003,95.500000,81.722519,19624732
2017-03-10,95.000000,97.699997,94.349998,96.900002,82.920540,21007648
2017-03-17,97.199997,97.949997,96.400002,97.800003,83.690697,36667726
2017-03-24,97.849998,97.849998,95.949997,96.750000,82.792183,27778028
2017-03-31,97.000000,97.000000,94.699997,95.699997,81.893654,22715510
2017-04-07,95.900002,96.400002,94.349998,94.800003,81.123497,18597808
2017-04-14,94.800003,95.500000,93.050003,93.900002,80.353340,18261883
2017-04-21,93.599998,97.599998,93.099998,97.000000,83.006111,28608512
2017-04-28,97.199997,98.199997,96.550003,97.699997,83.605118,14470553
2017-05-05,98.000000,102.800003,96.050003,101.900002,87.199211,32938093
2017-05-12,102.000000,102.800003,98.699997,99.099998,84.803146,32391461
2017-05-19,99.900002,102.400002,98.650002,101.699997,88.711418,24481577
2017-05-26,102.500000,102.500000,100.599998,101.199997,88.275261,15842719
2017-06-02,101.900002,101.900002,100.099998,101.300003,88.362503,17817999
2017-06-09,100.000000,100.500000,98.300003,98.750000,86.138168,26901991
2017-06-16,100.000000,100.000000,97.800003,99.050003,86.399849,17040499
2017-06-23,99.500000,99.500000,97.900002,98.500000,85.920090,17389515
2017-06-30,97.849998,98.250000,96.000000,97.250000,84.829735,21269246
